CODICESCUOLA,CODICEEDIFICIO,SPAZIDIDATTICI,AULAMAGNA,MENSA,PALESTRAPISCINA,SPAZIAMMINISTRATIVI,SUPERAMENTOBARRIEREARCH,ACCESSORAMPE,SCALENORMA,ASCENSOREDISABILI,PIATTAFORMAELEVATRICE,SERVIZIIGIENICIDISABILI,PORTELARGHEZZADISABILI,PERCORSIINTERNIDISABILI,PERCORSIESTERNIDISABILI,ALTRIACCORGIMENTIDISABILI,IMPIANTORISCALDAMENTO,CENTRALIZZATOOLIOCOMBUSTIBILI,CENTRALIZZATOGASOLIO,CENTRALIZZATOMETANO,CENTRALIZZATOGPL,CENTRALIZZATOARIA,CORPISCALDANTIELETTRICIAUTONOMI,TELERISCALDAMENTO,CONDIZIONAMENTOVENTILAZIONE,RISCALDAMENTOALTRANATURA,RANK
LEAA886039,750140153,True,False,False,False,True,True,True,False,False,False,False,True,True,True,True,True,False,True,False,False,False,False,False,False,True,4.4
LEAA887013,750290300,True,True,True,False,True,True,True,True,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,5.2
LEAA887024,750290492,True,False,False,False,False,True,True,True,False,False,True,True,False,False,True,True,False,True,False,False,False,False,False,False,True,4.0
LEAA887035,750291375,True,False,False,False,False,True,True,False,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,3.6
LEAA88801V,750290082,True,False,False,False,False,True,True,False,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,3.6
LEAA88802X,750290083,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,2.0
LEAA88901P,750841109,True,False,False,False,False,True,True,False,False,False,True,True,False,False,True,True,False,True,False,False,False,False,False,False,True,3.6
LEAA88902Q,750840198,True,False,False,False,False,True,True,False,False,False,True,True,False,False,True,True,False,True,False,False,False,False,False,False,True,3.6
LEAA89101P,750350013,True,False,False,False,False,True,True,False,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,4.4
LEAA89102Q,750350013,True,False,False,False,False,True,True,False,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,4.4
LEAA89201E,750350251,True,False,False,False,False,True,True,False,False,False,True,False,True,True,True,True,False,True,False,False,False,False,False,False,True,4.0
LEAA89301A,750290079,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,1.2
LEAA89301A,750290303,True,False,False,False,True,True,True,True,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,4.4
LEAA89302B,750290080,True,False,False,False,True,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,True,3.2
LEAA894016,750300310,True,False,False,True,False,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.2
LEAA895012,750300086,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,True,3.2
LEAA895023,750300084,True,False,False,False,False,True,True,False,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,3.6
LEAA895034,750300430,True,False,False,False,False,True,True,False,True,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,True,4.4
LEAA895045,750301709,True,False,False,False,False,True,True,False,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,4.4
LEAA89601T,750520137,True,False,False,False,True,True,True,False,False,False,True,True,False,False,True,True,False,True,False,False,False,False,False,False,True,4.0
LEAA89601T,750520142,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,1.6
LEAA89602V,750520133,True,False,True,False,False,True,True,False,False,False,True,True,False,False,True,True,False,True,False,False,False,False,False,False,True,4.0
LEAA89602V,750520134,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,1.6
LEAA89701N,750520141,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,2.4
LEAA89702P,750520140,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,True,3.2
LEAA89703Q,750520349,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,2.8
LEAA89704R,750520138,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,2.4
