CODICESCUOLA,CODICEEDIFICIO,SPAZIDIDATTICI,AULAMAGNA,MENSA,PALESTRAPISCINA,SPAZIAMMINISTRATIVI,SUPERAMENTOBARRIEREARCH,ACCESSORAMPE,SCALENORMA,ASCENSOREDISABILI,PIATTAFORMAELEVATRICE,SERVIZIIGIENICIDISABILI,PORTELARGHEZZADISABILI,PERCORSIINTERNIDISABILI,PERCORSIESTERNIDISABILI,ALTRIACCORGIMENTIDISABILI,IMPIANTORISCALDAMENTO,CENTRALIZZATOOLIOCOMBUSTIBILI,CENTRALIZZATOGASOLIO,CENTRALIZZATOMETANO,CENTRALIZZATOGPL,CENTRALIZZATOARIA,CORPISCALDANTIELETTRICIAUTONOMI,TELERISCALDAMENTO,CONDIZIONAMENTOVENTILAZIONE,RISCALDAMENTOALTRANATURA,RANK
VAEE809041,120440157,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.0
VAEE809052,120291309,False,False,False,True,False,True,True,False,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,4.4
VAEE809052,120290316,True,False,True,False,False,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6
VAEE809063,120290313,True,False,True,True,False,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.0
VAEE81201N,120130116,True,False,False,True,False,True,False,False,False,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,True,4.0
VAEE81202P,120130117,True,False,False,False,False,True,True,False,False,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,True,4.0
VAEE81203Q,120170120,True,False,True,True,True,True,True,False,True,True,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,5.6
VAEE81204R,120950121,True,False,True,False,False,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6
VAEE81206V,120130012,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6
VAEE81301D,120830104,True,False,False,True,True,True,False,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6
VAEE81302E,120830867,True,False,False,True,False,True,True,False,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,4.0
VAEE81402A,121270285,True,True,False,True,False,True,False,False,False,True,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,4.4
VAEE81406E,121270282,True,True,False,False,True,True,True,False,True,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,4.8
VAEE81406E,121270719,False,False,False,True,False,True,True,False,True,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,4.0
VAEE81407G,121270286,True,False,False,True,False,True,True,False,False,True,True,True,False,False,True,True,False,True,False,False,False,False,False,False,True,4.4
VAEE815015,120150124,True,False,True,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True,3.6
VAEE815037,120580903,True,False,True,True,False,True,False,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6
VAEE816011,120400350,True,False,False,True,True,True,False,False,True,False,True,False,True,True,True,True,False,False,True,False,False,False,False,False,True,4.8
VAEE81701R,120420152,True,True,True,True,False,True,True,True,True,False,True,True,False,False,True,True,False,False,False,False,False,False,True,False,True,5.6
VAEE81702T,120420151,True,True,True,True,False,True,False,True,True,True,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,5.6
VAEE81801L,120040102,True,False,False,False,True,True,False,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,4.8
VAEE81802N,120040869,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True,3.2
VAEE81803P,120040105,True,False,False,True,False,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.2
VAEE81901C,121390307,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.0
VAEE81902D,121390308,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.4
VAEE81903E,120520309,True,False,True,False,False,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.2
