NOMESCUOLA,DESCRIZIONECOMUNE,CODICESCUOLA,INDIRIZZO,LATITUDINE,LONGITUDINE,SITOWEB,DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA,CODICEISTITUTORIFERIMENTO,CAPSCUOLA
CRISTOFORO COLOMBO,VENEZIA,VEEE847024,VIA ASSEGGIANO 163,45.50029075,12.171889521836901,http://www.comprensivocolombo.gov.it,SCUOLA PRIMARIA,VEIC847001,30174
FRANCESCO QUERINI,VENEZIA,VEAA846012,VIA MONTEVERDI ,45.3669838,10.4250736,http://www.icquerini.it,SCUOLA INFANZIA,VEIC846005,30171
FRANCESCO QUERINI,VENEZIA,VEIC846005,VIA CATALANI ,45.0742499,7.5713946,,ISTITUTO COMPRENSIVO,VEIC846005,30171
I.C. VIALE SAN MARCO,VENEZIA,VEMM87401A,VIA CICOGNARA ,45.7721399,12.033696800000001,http://www.icvialesanmarco.gov.it,SCUOLA PRIMO GRADO,VEIC874009,30173
FRANCESCO QUERINI,VENEZIA,VEAA846023,VIA PIRAGHETTO 10,45.4886074,12.2279898,http://www.icquerini.it,SCUOLA INFANZIA,VEIC846005,30170
I.C. VIALE SAN MARCO,VENEZIA,VEEE87402C,VIA GIARDINO 16,45.4946216,12.246140978804,http://www.icvialesanmarco.gov.it,SCUOLA PRIMARIA,VEIC874009,30174
DANTE ALIGHIERI,VENEZIA,VEEE839014,GIUDECCA 373,45.4258541,12.3229991170211,http://www.alighierivenezia.eu,SCUOLA PRIMARIA,VEIC839002,30133
I.C. LEONARDO DA VINCI,VENEZIA,VEEE87301G,VIA BISSUOLA ,45.4952863,12.2498922,http://www.icleonardodavincivenezia.gov.it,SCUOLA PRIMARIA,VEIC87300D,30173
I.C. LEONARDO DA VINCI,VENEZIA,VEIC87300D,VIA VIRGILIO ,45.4959117,12.2626993,,ISTITUTO COMPRENSIVO,VEIC87300D,30173
VENDRAMIN CORNER,VENEZIA,VETH00801E,CASTELLO 787,45.434680900000004,12.350914064274301,http://www.ptpvenezia.gov.it,ISTITUTO TECNICO NAUTICO,VEIS00800E,30122
