IDVIAGGIO,IDFERMATA,LATITUDINEFERMATA,LONGITUDINEFERMATA,NOMEFERMATA,NUMEROAUTOBUS,ANDATA
1789,5693,45.495090000000005,12.412183,Torcello (A Richiesta),137,False
1787,5692,45.443707,12.376256,Vignole (A Richiesta),139,False
1791,5068,45.487602,12.416217,"Burano ""B"" DX per Treport",143,False
1247,5097,45.495090000000005,12.412183,Torcello,146,True
1248,5097,45.495090000000005,12.412183,Torcello,147,False
1311,5158,45.417698,12.368246000000001,"Lido (S.M.E.) ""C"" dir. P.",151,True
1312,5002,45.417683000000004,12.368217,"Lido (S.M.E.) ""C"" dir. Ve",155,False
1314,5098,45.424339,12.377113,Lido S. Nicolo' M/N,156,False
281,5021,45.42947,12.342235,S. Giorgio,159,True
281,5022,45.426849,12.325638,Giudecca Palanca SX,159,True
281,5024,45.440094,12.306348,Tronchetto 'B' SX,159,True
281,5032,45.440937,12.322042,"Ferrovia ""B""",159,True
281,5050,45.429153,12.3268,Zattere DX,159,True
281,5081,45.42672,12.337905000000001,Zitelle SX,159,True
281,5139,45.428959000000006,12.316327000000001,Sacca Fisola SX,159,True
2330,5025,45.440308,12.306533,Tronchetto 'B'  DX,164,False
2330,5033,45.441016999999995,12.322206,"Ferrovia ""A""",164,False
2330,5056,45.432487,12.338417,S. Marco (Giardinetti) DX,164,False
2330,5152,45.417358,12.36754,"Lido (S.M.E.) ""E""",164,False
2352,5021,45.42947,12.342235,S. Giorgio,164,False
2352,5023,45.429008,12.315648,Sacca Fisola DX,164,False
2352,5049,45.42926,12.32628,Zattere SX,164,False
2352,5118,45.426624,12.337678,Zitelle DX,164,False
2352,5129,45.426899,12.325401,Giudecca Palanca DX,164,False
2178,5076,45.433514,12.344095,"S. Zaccaria (M.V.E.) ""B""",165,False
660,5056,45.432487,12.338417,S. Marco (Giardinetti) DX,174,True
1234,15086,45.443958,12.339143,"F.te Nove ""A""",178,True
1233,15086,45.443958,12.339143,"F.te Nove ""A""",187,False
