SPAZIDIDATTICI,AULAMAGNA,MENSA,PALESTRAPISCINA,SPAZIAMMINISTRATIVI,SUPERAMENTOBARRIEREARCH,ACCESSORAMPE,SCALENORMA,ASCENSOREDISABILI,PIATTAFORMAELEVATRICE,SERVIZIIGIENICIDISABILI,PORTELARGHEZZADISABILI,PERCORSIINTERNIDISABILI,PERCORSIESTERNIDISABILI,ALTRIACCORGIMENTIDISABILI,IMPIANTORISCALDAMENTO,CENTRALIZZATOOLIOCOMBUSTIBILI,CENTRALIZZATOGASOLIO,CENTRALIZZATOMETANO,CENTRALIZZATOGPL,CENTRALIZZATOARIA,CORPISCALDANTIELETTRICIAUTONOMI,TELERISCALDAMENTO,CONDIZIONAMENTOVENTILAZIONE,RISCALDAMENTOALTRANATURA,RANK,NOMESCUOLA,DESCRIZIONECOMUNE,CODICESCUOLA,INDIRIZZO,LATITUDINE,LONGITUDINE,SITOWEB,DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA,CODICEISTITUTORIFERIMENTO,CAPSCUOLA
True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.0,I.C. LEONARDO DA VINCI,VENEZIA,VEEE87303N,VIA VIRGILIO ,45.4959117,12.2626993,http://www.icleonardodavincivenezia.gov.it,SCUOLA PRIMARIA,VEIC87300D,30173
True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.0,I.C. LEONARDO DA VINCI,VENEZIA,VEMM87301E,VIA TEVERE 93,45.4975825,12.2571153,http://www.icleonardodavincivenezia.gov.it,SCUOLA PRIMO GRADO,VEIC87300D,30173
True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.0,I.C. LEONARDO DA VINCI,VENEZIA,VEAA87302B,VIA BUOZZI ,42.7649163,11.1136781,http://www.icleonardodavincivenezia.gov.it,SCUOLA INFANZIA,VEIC87300D,30174
True,False,False,True,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6,I.C. VIALE SAN MARCO,VENEZIA,VEIC874009,VIALE SAN MARCO ,45.5615953,12.298916,,ISTITUTO COMPRENSIVO,VEIC874009,30173
True,False,False,True,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6,I.C. VIALE SAN MARCO,VENEZIA,VEEE87403D,VIALE S. MARCO 67,45.4781109,12.265883,http://www.icvialesanmarco.gov.it,SCUOLA PRIMARIA,VEIC874009,30173
True,False,False,True,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6,I.C. VIALE SAN MARCO,VENEZIA,VEAA874016,VIALE S. MARCO 182,45.4781109,12.265883,http://www.icvialesanmarco.gov.it,SCUOLA INFANZIA,VEIC874009,30173
True,False,False,True,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6,I.C. VIALE SAN MARCO,VENEZIA,VEEE87401B,VIA PACCAGNELLA 11,45.5100456,12.2232479,http://www.icnoale.gov.it,SCUOLA PRIMARIA,VEIC874009,30174
True,False,False,True,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6,I.C. VIALE SAN MARCO,VENEZIA,VEMM87401A,VIA CICOGNARA ,45.7721399,12.0336968,http://www.icvialesanmarco.gov.it,SCUOLA PRIMO GRADO,VEIC874009,30173
True,False,False,True,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6,I.C. VIALE SAN MARCO,VENEZIA,VEEE87402C,VIA GIARDINO 16,45.4946216,12.246140978804,http://www.icvialesanmarco.gov.it,SCUOLA PRIMARIA,VEIC874009,30174
True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.4,I.C. L.SPALLANZANI,VENEZIA,VEIC875005,VIA CIMA D'ASTA 8,45.506028,12.2655683,,ISTITUTO COMPRENSIVO,VEIC875005,30174
